45° latitude
0.18     albedo
Year 2008
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
       1.      2008         1         1     12.00     68.05     0.2095E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5050E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.3021E+03
       4.      2008         1         1     12.00     68.05     0.2098E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3630E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.3021E+03
       7.      2008         1         1     12.00     68.05     0.2090E+00     0.8912E-12     0.1087E-19     0.8912E-12     0.2550E+19     0.1087E+08     0.1326E+00     0.1087E+08     0.3021E+03
      10.      2008         1         1     12.00     68.05     0.2091E+00     0.3127E-09     0.7065E-17     0.3127E-09     0.1740E+19     0.2602E+10     0.5878E+02     0.2602E+10     0.3021E+03
      13.      2008         1         1     12.00     68.05     0.2093E+00     0.1887E-07     0.9555E-15     0.1887E-07     0.1120E+19     0.1010E+12     0.5112E+04     0.1010E+12     0.3015E+03
      16.      2008         1         1     12.00     68.05     0.2098E+00     0.2756E-06     0.3811E-13     0.2756E-06     0.6880E+18     0.9040E+12     0.1250E+06     0.9040E+12     0.2959E+03
      19.      2008         1         1     12.00     68.05     0.2090E+00     0.1616E-05     0.6498E-12     0.1616E-05     0.4180E+18     0.3231E+13     0.1300E+07     0.3231E+13     0.2728E+03
      22.      2008         1         1     12.00     68.05     0.2098E+00     0.4479E-05     0.5174E-11     0.4479E-05     0.2580E+18     0.5510E+13     0.6364E+07     0.5510E+13     0.2241E+03
      25.      2008         1         1     12.00     68.05     0.2092E+00     0.7064E-05     0.2348E-10     0.7064E-05     0.1600E+18     0.5404E+13     0.1796E+08     0.5404E+13     0.1632E+03
      30.      2008         1         1     12.00     68.05     0.2093E+00     0.9692E-05     0.1860E-09     0.9692E-05     0.7430E+17     0.3441E+13     0.6604E+08     0.3441E+13     0.8103E+02
      35.      2008         1         1     12.00     68.05     0.2090E+00     0.8969E-05     0.1182E-08     0.8967E-05     0.3470E+17     0.1489E+13     0.1963E+09     0.1489E+13     0.3521E+02
      40.      2008         1         1     12.00     68.05     0.2096E+00     0.7776E-05     0.7191E-08     0.7769E-05     0.1700E+17     0.6307E+12     0.5832E+09     0.6301E+12     0.1552E+02
      45.      2008         1         1     12.00     68.05     0.2094E+00     0.6521E-05     0.3608E-07     0.6485E-05     0.8920E+16     0.2778E+12     0.1537E+10     0.2763E+12     0.7101E+01
      50.      2008         1         1     12.00     68.05     0.2095E+00     0.5455E-05     0.1668E-06     0.5288E-05     0.4840E+16     0.1260E+12     0.3852E+10     0.1221E+12     0.3398E+01
      55.      2008         1         1     12.00     68.05     0.2096E+00     0.4712E-05     0.6473E-06     0.4065E-05     0.2620E+16     0.5890E+11     0.8091E+10     0.5081E+11     0.1791E+01
      60.      2008         1         1     12.00     68.05     0.2092E+00     0.6693E-05     0.2291E-05     0.4402E-05     0.1500E+16     0.4799E+11     0.1643E+11     0.3156E+11     0.1025E+01
      65.      2008         1         1     12.00     68.05     0.2095E+00     0.1275E-04     0.8134E-05     0.4615E-05     0.8190E+15     0.4985E+11     0.3181E+11     0.1805E+11     0.5644E+00
      70.      2008         1         1     12.00     68.05     0.2094E+00     0.4061E-04     0.3474E-04     0.5869E-05     0.4230E+15     0.8204E+11     0.7018E+11     0.1186E+11     0.2865E+00
