-30° latitude
0.13     albedo
Year 2002
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
       1.      2002         1         1     12.00      7.04     0.2095E+00     0.1664E-16     0.9716E-25     0.1664E-16     0.5050E+19     0.4010E+03     0.2341E-05     0.4010E+03     0.3601E+03
       4.      2002         1         1     12.00      7.04     0.2098E+00     0.2962E-13     0.2982E-21     0.2962E-13     0.3630E+19     0.5125E+06     0.5158E-02     0.5125E+06     0.3601E+03
       7.      2002         1         1     12.00      7.04     0.2090E+00     0.6973E-11     0.1217E-18     0.6973E-11     0.2550E+19     0.8507E+08     0.1485E+01     0.8507E+08     0.3601E+03
      10.      2002         1         1     12.00      7.04     0.2091E+00     0.7206E-09     0.2261E-16     0.7206E-09     0.1740E+19     0.5995E+10     0.1881E+03     0.5995E+10     0.3601E+03
      13.      2002         1         1     12.00      7.04     0.2093E+00     0.2377E-07     0.1632E-14     0.2377E-07     0.1120E+19     0.1272E+12     0.8732E+04     0.1272E+12     0.3593E+03
      16.      2002         1         1     12.00      7.04     0.2098E+00     0.2487E-06     0.4591E-13     0.2487E-06     0.6880E+18     0.8159E+12     0.1506E+06     0.8159E+12     0.3541E+03
      19.      2002         1         1     12.00      7.04     0.2090E+00     0.1238E-05     0.6535E-12     0.1238E-05     0.4180E+18     0.2476E+13     0.1307E+07     0.2476E+13     0.3357E+03
      22.      2002         1         1     12.00      7.04     0.2098E+00     0.3928E-05     0.5830E-11     0.3928E-05     0.2580E+18     0.4831E+13     0.7172E+07     0.4831E+13     0.2949E+03
      25.      2002         1         1     12.00      7.04     0.2092E+00     0.8304E-05     0.3487E-10     0.8304E-05     0.1600E+18     0.6353E+13     0.2667E+08     0.6353E+13     0.2326E+03
      30.      2002         1         1     12.00      7.04     0.2093E+00     0.1542E-04     0.3762E-09     0.1542E-04     0.7430E+17     0.5474E+13     0.1336E+09     0.5474E+13     0.1227E+03
      35.      2002         1         1     12.00      7.04     0.2090E+00     0.1503E-04     0.2790E-08     0.1503E-04     0.3470E+17     0.2495E+13     0.4631E+09     0.2495E+13     0.4861E+02
      40.      2002         1         1     12.00      7.04     0.2096E+00     0.1038E-04     0.1653E-07     0.1036E-04     0.1700E+17     0.8417E+12     0.1340E+10     0.8404E+12     0.1762E+02
      45.      2002         1         1     12.00      7.04     0.2094E+00     0.6967E-05     0.8170E-07     0.6885E-05     0.8920E+16     0.2968E+12     0.3480E+10     0.2933E+12     0.7083E+01
      50.      2002         1         1     12.00      7.04     0.2095E+00     0.5156E-05     0.3086E-06     0.4847E-05     0.4840E+16     0.1191E+12     0.7128E+10     0.1120E+12     0.3316E+01
      55.      2002         1         1     12.00      7.04     0.2096E+00     0.4552E-05     0.9664E-06     0.3586E-05     0.2620E+16     0.5691E+11     0.1208E+11     0.4483E+11     0.1859E+01
      60.      2002         1         1     12.00      7.04     0.2092E+00     0.7542E-05     0.3258E-05     0.4284E-05     0.1500E+16     0.5408E+11     0.2336E+11     0.3072E+11     0.1157E+01
      65.      2002         1         1     12.00      7.04     0.2095E+00     0.1752E-04     0.1215E-04     0.5368E-05     0.8190E+15     0.6850E+11     0.4751E+11     0.2099E+11     0.6766E+00
      70.      2002         1         1     12.00      7.04     0.2094E+00     0.5529E-04     0.4816E-04     0.7125E-05     0.4230E+15     0.1117E+12     0.9728E+11     0.1439E+11     0.3478E+00
