-30° latitude
0.13     albedo
Year 2005
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
       1.      2005         1         1     12.00      7.07     0.2095E+00     0.1664E-16     0.9582E-25     0.1664E-16     0.5050E+19     0.4010E+03     0.2309E-05     0.4010E+03     0.3904E+03
       4.      2005         1         1     12.00      7.07     0.2098E+00     0.2962E-13     0.2936E-21     0.2962E-13     0.3630E+19     0.5125E+06     0.5079E-02     0.5125E+06     0.3904E+03
       7.      2005         1         1     12.00      7.07     0.2090E+00     0.7458E-11     0.1281E-18     0.7458E-11     0.2550E+19     0.9099E+08     0.1562E+01     0.9099E+08     0.3904E+03
      10.      2005         1         1     12.00      7.07     0.2091E+00     0.8598E-09     0.2652E-16     0.8598E-09     0.1740E+19     0.7154E+10     0.2206E+03     0.7154E+10     0.3903E+03
      13.      2005         1         1     12.00      7.07     0.2093E+00     0.3071E-07     0.2074E-14     0.3071E-07     0.1120E+19     0.1643E+12     0.1110E+05     0.1643E+12     0.3894E+03
      16.      2005         1         1     12.00      7.07     0.2098E+00     0.3377E-06     0.6140E-13     0.3377E-06     0.6880E+18     0.1108E+13     0.2014E+06     0.1108E+13     0.3823E+03
      19.      2005         1         1     12.00      7.07     0.2090E+00     0.1721E-05     0.8968E-12     0.1721E-05     0.4180E+18     0.3443E+13     0.1794E+07     0.3443E+13     0.3569E+03
      22.      2005         1         1     12.00      7.07     0.2098E+00     0.4928E-05     0.7271E-11     0.4928E-05     0.2580E+18     0.6062E+13     0.8944E+07     0.6062E+13     0.3039E+03
      25.      2005         1         1     12.00      7.07     0.2092E+00     0.8488E-05     0.3559E-10     0.8488E-05     0.1600E+18     0.6493E+13     0.2723E+08     0.6493E+13     0.2339E+03
      30.      2005         1         1     12.00      7.07     0.2093E+00     0.1542E-04     0.3763E-09     0.1542E-04     0.7430E+17     0.5474E+13     0.1336E+09     0.5474E+13     0.1227E+03
      35.      2005         1         1     12.00      7.07     0.2090E+00     0.1503E-04     0.2789E-08     0.1503E-04     0.3470E+17     0.2495E+13     0.4631E+09     0.2495E+13     0.4861E+02
      40.      2005         1         1     12.00      7.07     0.2096E+00     0.1038E-04     0.1653E-07     0.1036E-04     0.1700E+17     0.8417E+12     0.1340E+10     0.8404E+12     0.1762E+02
      45.      2005         1         1     12.00      7.07     0.2094E+00     0.6967E-05     0.8170E-07     0.6885E-05     0.8920E+16     0.2968E+12     0.3480E+10     0.2933E+12     0.7083E+01
      50.      2005         1         1     12.00      7.07     0.2095E+00     0.5156E-05     0.3086E-06     0.4847E-05     0.4840E+16     0.1191E+12     0.7128E+10     0.1120E+12     0.3316E+01
      55.      2005         1         1     12.00      7.07     0.2096E+00     0.4552E-05     0.9664E-06     0.3586E-05     0.2620E+16     0.5691E+11     0.1208E+11     0.4483E+11     0.1859E+01
      60.      2005         1         1     12.00      7.07     0.2092E+00     0.7542E-05     0.3258E-05     0.4284E-05     0.1500E+16     0.5408E+11     0.2336E+11     0.3072E+11     0.1157E+01
      65.      2005         1         1     12.00      7.07     0.2095E+00     0.1752E-04     0.1215E-04     0.5368E-05     0.8190E+15     0.6849E+11     0.4750E+11     0.2099E+11     0.6763E+00
      70.      2005         1         1     12.00      7.07     0.2094E+00     0.5527E-04     0.4815E-04     0.7121E-05     0.4230E+15     0.1116E+12     0.9725E+11     0.1439E+11     0.3476E+00
