75° latitude
0.45     albedo
Year 2039
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
       1.      2039         1         1     12.00     98.00     0.2095E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5050E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.2001E+03
       4.      2039         1         1     12.00     98.00     0.2098E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3630E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.2001E+03
       7.      2039         1         1     12.00     98.00     0.2090E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2550E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.2001E+03
      10.      2039         1         1     12.00     98.00     0.2091E+00     0.3024E-10     0.0000E+00     0.3024E-10     0.1740E+19     0.2516E+09     0.0000E+00     0.2516E+09     0.2001E+03
      13.      2039         1         1     12.00     98.00     0.2093E+00     0.5735E-08     0.0000E+00     0.5735E-08     0.1120E+19     0.3068E+11     0.0000E+00     0.3068E+11     0.1999E+03
      16.      2039         1         1     12.00     98.00     0.2098E+00     0.1730E-06     0.0000E+00     0.1730E-06     0.6880E+18     0.5674E+12     0.0000E+00     0.5674E+12     0.1966E+03
      19.      2039         1         1     12.00     98.00     0.2090E+00     0.1278E-05     0.0000E+00     0.1278E-05     0.4180E+18     0.2556E+13     0.0000E+00     0.2556E+13     0.1792E+03
      22.      2039         1         1     12.00     98.00     0.2098E+00     0.2835E-05     0.0000E+00     0.2835E-05     0.2580E+18     0.3486E+13     0.0000E+00     0.3486E+13     0.1455E+03
      25.      2039         1         1     12.00     98.00     0.2092E+00     0.4652E-05     0.0000E+00     0.4652E-05     0.1600E+18     0.3558E+13     0.0000E+00     0.3558E+13     0.1062E+03
      30.      2039         1         1     12.00     98.00     0.2093E+00     0.7202E-05     0.0000E+00     0.7202E-05     0.7430E+17     0.2557E+13     0.0000E+00     0.2557E+13     0.4936E+02
      35.      2039         1         1     12.00     98.00     0.2090E+00     0.5178E-05     0.0000E+00     0.5178E-05     0.3470E+17     0.8596E+12     0.0000E+00     0.8596E+12     0.1762E+02
      40.      2039         1         1     12.00     98.00     0.2096E+00     0.2902E-05     0.0000E+00     0.2902E-05     0.1700E+17     0.2354E+12     0.0000E+00     0.2354E+12     0.7439E+01
      45.      2039         1         1     12.00     98.00     0.2094E+00     0.1939E-05     0.0000E+00     0.1939E-05     0.8920E+16     0.8262E+11     0.0000E+00     0.8262E+11     0.4484E+01
      50.      2039         1         1     12.00     98.00     0.2095E+00     0.1490E-05     0.0000E+00     0.1490E-05     0.4840E+16     0.3442E+11     0.0000E+00     0.3442E+11     0.3396E+01
      55.      2039         1         1     12.00     98.00     0.2096E+00     0.1386E-05     0.0000E+00     0.1386E-05     0.2620E+16     0.1732E+11     0.0000E+00     0.1732E+11     0.2915E+01
      60.      2039         1         1     12.00     98.00     0.2092E+00     0.5301E-05     0.0000E+00     0.5301E-05     0.1500E+16     0.3801E+11     0.0000E+00     0.3801E+11     0.2401E+01
      65.      2039         1         1     12.00     98.00     0.2095E+00     0.1086E-04     0.0000E+00     0.1086E-04     0.8190E+15     0.4248E+11     0.0000E+00     0.4248E+11     0.1653E+01
      70.      2039         1         1     12.00     98.00     0.2094E+00     0.1861E-04     0.0000E+00     0.1861E-04     0.4230E+15     0.3760E+11     0.0000E+00     0.3760E+11     0.9085E+00
