75° latitude
0.45     albedo
Year 2046
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
       1.      2046         1         1     12.00     97.98     0.2095E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5050E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.2020E+03
       4.      2046         1         1     12.00     97.98     0.2098E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3630E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.2020E+03
       7.      2046         1         1     12.00     97.98     0.2090E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2550E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.2020E+03
      10.      2046         1         1     12.00     97.98     0.2091E+00     0.3294E-10     0.0000E+00     0.3294E-10     0.1740E+19     0.2741E+09     0.0000E+00     0.2741E+09     0.2020E+03
      13.      2046         1         1     12.00     97.98     0.2093E+00     0.6326E-08     0.0000E+00     0.6326E-08     0.1120E+19     0.3384E+11     0.0000E+00     0.3384E+11     0.2018E+03
      16.      2046         1         1     12.00     97.98     0.2098E+00     0.1911E-06     0.0000E+00     0.1911E-06     0.6880E+18     0.6269E+12     0.0000E+00     0.6269E+12     0.1981E+03
      19.      2046         1         1     12.00     97.98     0.2090E+00     0.1331E-05     0.0000E+00     0.1331E-05     0.4180E+18     0.2662E+13     0.0000E+00     0.2662E+13     0.1797E+03
      22.      2046         1         1     12.00     97.98     0.2098E+00     0.2835E-05     0.0000E+00     0.2835E-05     0.2580E+18     0.3487E+13     0.0000E+00     0.3487E+13     0.1455E+03
      25.      2046         1         1     12.00     97.98     0.2092E+00     0.4652E-05     0.0000E+00     0.4652E-05     0.1600E+18     0.3558E+13     0.0000E+00     0.3558E+13     0.1062E+03
      30.      2046         1         1     12.00     97.98     0.2093E+00     0.7201E-05     0.0000E+00     0.7201E-05     0.7430E+17     0.2557E+13     0.0000E+00     0.2557E+13     0.4934E+02
      35.      2046         1         1     12.00     97.98     0.2090E+00     0.5177E-05     0.0000E+00     0.5177E-05     0.3470E+17     0.8594E+12     0.0000E+00     0.8594E+12     0.1759E+02
      40.      2046         1         1     12.00     97.98     0.2096E+00     0.2900E-05     0.0000E+00     0.2900E-05     0.1700E+17     0.2352E+12     0.0000E+00     0.2352E+12     0.7420E+01
      45.      2046         1         1     12.00     97.98     0.2094E+00     0.1935E-05     0.0000E+00     0.1935E-05     0.8920E+16     0.8241E+11     0.0000E+00     0.8241E+11     0.4468E+01
      50.      2046         1         1     12.00     97.98     0.2095E+00     0.1484E-05     0.0000E+00     0.1484E-05     0.4840E+16     0.3428E+11     0.0000E+00     0.3428E+11     0.3384E+01
      55.      2046         1         1     12.00     97.98     0.2096E+00     0.1375E-05     0.0000E+00     0.1375E-05     0.2620E+16     0.1719E+11     0.0000E+00     0.1719E+11     0.2905E+01
      60.      2046         1         1     12.00     97.98     0.2092E+00     0.5240E-05     0.0000E+00     0.5240E-05     0.1500E+16     0.3757E+11     0.0000E+00     0.3757E+11     0.2396E+01
      65.      2046         1         1     12.00     97.98     0.2095E+00     0.1086E-04     0.0000E+00     0.1086E-04     0.8190E+15     0.4247E+11     0.0000E+00     0.4247E+11     0.1653E+01
      70.      2046         1         1     12.00     97.98     0.2094E+00     0.1861E-04     0.0000E+00     0.1861E-04     0.4230E+15     0.3760E+11     0.0000E+00     0.3760E+11     0.9086E+00
