45° latitude
0.18     albedo
Year 2046
   alt.[km]     year     month       day      hour  SZA[deg]         o2-vmr         ox-vmr          o-vmr         o3-vmr    [o2][cm^-3]   [ox][1/cm^3]    [o][1/cm^3]   [o3][1/cm^3]      topo3[DU]
       1.      2046         1         1     12.00     67.98     0.2095E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5050E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.3429E+03
       4.      2046         1         1     12.00     67.98     0.2098E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3630E+19     0.0000E+00     0.0000E+00     0.0000E+00     0.3429E+03
       7.      2046         1         1     12.00     67.98     0.2090E+00     0.1972E-11     0.2363E-19     0.1972E-11     0.2550E+19     0.2405E+08     0.2883E+00     0.2405E+08     0.3429E+03
      10.      2046         1         1     12.00     67.98     0.2091E+00     0.7879E-09     0.1748E-16     0.7879E-09     0.1740E+19     0.6555E+10     0.1455E+03     0.6555E+10     0.3429E+03
      13.      2046         1         1     12.00     67.98     0.2093E+00     0.4912E-07     0.2443E-14     0.4912E-07     0.1120E+19     0.2628E+12     0.1307E+05     0.2628E+12     0.3414E+03
      16.      2046         1         1     12.00     67.98     0.2098E+00     0.6954E-06     0.9479E-13     0.6954E-06     0.6880E+18     0.2281E+13     0.3109E+06     0.2281E+13     0.3272E+03
      19.      2046         1         1     12.00     67.98     0.2090E+00     0.2586E-05     0.1034E-11     0.2586E-05     0.4180E+18     0.5172E+13     0.2067E+07     0.5172E+13     0.2857E+03
      22.      2046         1         1     12.00     67.98     0.2098E+00     0.4640E-05     0.5361E-11     0.4640E-05     0.2580E+18     0.5708E+13     0.6594E+07     0.5708E+13     0.2250E+03
      25.      2046         1         1     12.00     67.98     0.2092E+00     0.7059E-05     0.2349E-10     0.7059E-05     0.1600E+18     0.5400E+13     0.1797E+08     0.5400E+13     0.1631E+03
      30.      2046         1         1     12.00     67.98     0.2093E+00     0.9672E-05     0.1859E-09     0.9672E-05     0.7430E+17     0.3434E+13     0.6600E+08     0.3434E+13     0.8096E+02
      35.      2046         1         1     12.00     67.98     0.2090E+00     0.8963E-05     0.1184E-08     0.8962E-05     0.3470E+17     0.1488E+13     0.1965E+09     0.1488E+13     0.3522E+02
      40.      2046         1         1     12.00     67.98     0.2096E+00     0.7783E-05     0.7209E-08     0.7775E-05     0.1700E+17     0.6312E+12     0.5846E+09     0.6306E+12     0.1553E+02
      45.      2046         1         1     12.00     67.98     0.2094E+00     0.6526E-05     0.3618E-07     0.6489E-05     0.8920E+16     0.2780E+12     0.1541E+10     0.2765E+12     0.7104E+01
      50.      2046         1         1     12.00     67.98     0.2095E+00     0.5456E-05     0.1672E-06     0.5289E-05     0.4840E+16     0.1260E+12     0.3862E+10     0.1222E+12     0.3399E+01
      55.      2046         1         1     12.00     67.98     0.2096E+00     0.4714E-05     0.6485E-06     0.4065E-05     0.2620E+16     0.5892E+11     0.8107E+10     0.5081E+11     0.1791E+01
      60.      2046         1         1     12.00     67.98     0.2092E+00     0.6695E-05     0.2294E-05     0.4401E-05     0.1500E+16     0.4800E+11     0.1645E+11     0.3156E+11     0.1026E+01
      65.      2046         1         1     12.00     67.98     0.2095E+00     0.1276E-04     0.8143E-05     0.4614E-05     0.8190E+15     0.4988E+11     0.3184E+11     0.1804E+11     0.5646E+00
      70.      2046         1         1     12.00     67.98     0.2094E+00     0.4067E-04     0.3479E-04     0.5873E-05     0.4230E+15     0.8215E+11     0.7028E+11     0.1186E+11     0.2867E+00
